year,ISO_code,Country,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2015,ALB,Albania,7.53,34,1,8.185294118,7.509902296,8,8,7.923799103,2.746046899,2.97014404,4.228486942,8.333333333,4.166666667,4.387444055,6.386673239,6.719298363,6.278342661,0.948717949,5.003488819,9.292549966,9.427512888,9.622438094,10,9.585625237,8.872444444,7.422175186,10,6.155187344,8.112451744,7.543,6.830576453,6.733388164,7.035654872
2015,DZA,Algeria,4.83,156,4,1.611764706,7.817129014,0,4.5,3.48222343,4.072191392,4.156907806,4.388349541,4.166666667,5,4.507538039,6.626692153,6.08695666,5.999988958,0.820512821,4.551817203,7.025469628,6.342685256,9.043004607,5,6.852789873,6.836266667,2.143694508,5.563909774,1.489856898,4.008431962,5.190333333,4.941934815,5.662040431,5.264769527
2015,AGO,Angola,5.44,148,4,6.235294118,8.886739306,0,9.5,6.155508356,1.843129164,1.974565724,2.512364187,3.333333333,4.166666667,2.302200397,5.423011165,3.016103987,4.291196631,0.846153846,2.960263718,9.052059273,5.545665113,7.944134656,5,6.88546476,6.9648,1.566369167,10,2.044822683,5.143997963,8.731571831,4.560324821,4.904853431,6.065583361
2015,ARG,Argentina,4.98,153,4,5.285294118,6.048930423,6,4,5.333556135,3.030578338,2.894794941,3.655030465,7.5,3.333333333,4.123465983,6.857195103,3.280141751,4.152791353,0.769230769,3.81636162,5.179317925,5.918005001,4.724,10,6.455330731,5.820711111,4.59670072,0,4.505738092,3.730787481,6.762,4.965897521,4.920120936,5.549339485
2015,ARM,Armenia,7.59,29,1,7.535294118,7.748532262,8,5,7.070956595,3.604283587,4.040783122,5.482346623,5.833333333,5,5.196692523,9.80196309,5.675675869,7.365155344,1,5.777803721,9.53589504,9.134324075,9.254682794,10,9.481225478,8.760977778,7.303879447,10,6.905620724,8.242619487,8.995666667,6.32367193,6.775412079,7.364916892
2015,AUS,Australia,8,8,1,4.708823529,6.664947872,10,5,6.59344285,8.729690834,5.94367355,8.090725441,10,9.166666667,6.163151928,8.205654997,8.764045238,6.889687178,1,7.994810648,8.823098382,8.919129002,9.698326656,10,9.36013851,9.024444444,7.462165481,10,3.916359833,7.60074244,9.583666667,7.657235129,8.128532984,8.45647826
2015,AUT,Austria,7.64,27,1,3.694117647,3.10106205,10,3.5,5.073794924,7.290996561,6.187249637,8.194186049,10,10,6.220992578,8.10049394,8.634920915,7.511032535,1,8.015541357,8.759314604,9.886400243,9.820686767,10,9.616600404,8.360586579,8.181185675,10,5.946016104,8.12194709,9.126666667,5.552088659,7.485377573,7.388044299
2015,AZE,Azerbaijan,6.38,115,3,6.379411765,7.881207817,0,6.5,5.190154896,4.435002936,5.021871156,5.404651509,5,5.833333333,7.252962408,9.773614234,5.454725663,7.579224851,0.717948718,5.321383003,9.700889863,5.364751543,9.165606855,5,7.307812065,7.896044444,6.613404013,10,3.902949237,7.103099424,7.572666667,6.396694666,6.96178148,6.977047604
2015,BHS,Bahamas,7.35,50,2,7.167647059,9.040503457,7,10,8.302037629,,6.6,,10,7.5,4.699256582,6.149350211,,,0.945945946,6.80080997,8.685871083,8.805351204,9.626,0,6.779305572,3.376933333,8.105924622,10,5.384615385,6.716868335,8.622733199,8.361606213,7.523034376,8.169124596
2015,BHR,Bahrain,7.37,48,2,3.487887387,9.581704339,4,10,6.767397932,6.822563237,6.23140069,7.435712795,5,7.5,4.785814418,8.855314534,7.764705817,7.287250156,0.536585366,5.265601604,9.961595769,7.133846848,9.632801261,10,9.182060969,8.610933333,6.295594508,10,4.794819166,7.425336752,8.425,8.217012812,8.060501012,8.234171275
2015,BGD,Bangladesh,6.33,117,3,9.723529412,9.724590355,7,9,8.862029942,3.175273527,3.043030783,4.73456947,4.166666667,3.333333333,0.941148344,3.087607391,3.477366368,4.298547449,0.794871795,3.01713395,9.826859697,9.529689589,8.761143954,0,7.02942331,6.636755556,3.035673925,10,4.291019623,5.990862276,7.877333333,7.261758671,5.046516275,6.728536093
2015,BRD,Barbados,6.5,107,3,7.647058824,5.968941943,6,6,6.404000192,6.43016363,4.110034171,6.498498057,9.8,,3.803003329,6.174797134,7.495681957,4.895975012,0.871794872,5.756723061,7.851123006,9.273955245,9.787756706,0,6.728208739,7.282577778,5.661880367,10,5.415144845,7.089900747,6.286333333,7.139466704,6.163273776,6.529691271
2015,BLR,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BEL,Belgium,7.43,43,2,2.405882353,2.010415679,10,1,3.854074508,7.88354695,5.901105294,7.886131474,10,8.333333333,5.565037753,4.767009987,8.133333524,6.821897258,1,7.254599508,8.997155302,9.771930225,9.887881204,10,9.664241683,8.360586579,8.29003763,10,6.389735551,8.26008994,9.605,7.239068985,7.450335117,8.098134701
2015,BLZ,Belize,6.81,85,3,6.570588235,8.431259972,4,9,7.000462052,8.027163908,4.3,7.385106292,6.4,,3.329065561,7.288231811,3.329,4.767009987,0.837837838,5.148883909,8.223353188,9.53561198,9.82294369,0,6.895477214,6.7444,6.87319263,10,4.709434454,7.081756771,9.947941843,7.018916776,6.733783599,7.900214073
2015,BEN,Benin,5.78,134,4,5.917647059,9.771474636,4,3.5,5.797280424,3.934192598,3.905482113,4.738601724,6.3,,1.068746974,3.951912272,5.126262506,5.51865677,0.658536585,3.580765453,8.960045627,8.843996413,9.935920256,0,6.934990574,6.807733333,4.410590991,10,2.481356924,5.924920312,8.425,5.732431221,5.871925967,6.676452396
2015,BTN,Bhutan,7.11,70,2,4.747058824,9.899419951,8,8.5,7.786619694,6.362658389,5.66813362,6.230340745,9.2,,7.365354835,6.901202527,7.581121127,7.763226348,0.923076923,6.859619903,9.909581959,9.109634236,9.095658291,0,7.028718621,6.518444444,7.246264197,10,1.304097192,6.267201458,7.637,8.689332202,6.565231898,7.630521367
2015,BOL,Bolivia,6.05,126,4,5.838235294,8.836512262,0,10,6.168686889,0.956256059,1.703646022,3.41251835,5,4.166666667,3.993334023,6.75412581,2.460317612,5.990888701,0.871794872,3.581133884,8.502350799,7.218714069,9.187807255,10,8.727218031,7.766244428,3.405275424,10,6.21796113,6.847370246,7.630666667,3.948479495,3.272567362,4.950571175
2015,BIH,Bosnia and Herzegovina,6.63,96,3,5.488235294,5.352167397,4,6.5,5.335100673,3.182647375,2.765796522,3.568755684,5.1,,3.79305681,7.837119866,4.924924771,5.064245907,0.871794872,4.23921142,9.341706259,9.678614879,9.83,5,8.462580284,8.572,7.261743696,10,5.276531358,7.777568764,9.543333333,7.130142248,5.264323963,7.312599848
2015,BWA,Botswana,7.35,50,2,3.429411765,7.164032698,4,9,5.898361116,6.106442475,5.880076104,6.712916092,8.333333333,5.833333333,3.336071251,8.09678184,6.403508981,5.501300864,0.974358974,6.164800355,8.06421763,8.887385147,9.387928592,10,9.084882842,5.923733333,7.612207929,10,7.351869362,7.721952656,9.194,7.519522367,6.92470059,7.879407652
2015,BRA,Brazil,5.75,140,4,4.823529412,5.786374387,4,6,5.15247595,4.61221637,2.901949104,5.215888328,6.666666667,3.333333333,3.742242077,8.387559107,4.037940502,2.766374195,0.923076923,4.45130018,9.059565855,9.609112844,8.194552045,5,7.965807686,7.221777778,5.142934516,10,5.240169707,6.9012205,5.234333333,4.175877434,3.481097944,4.297102904
2015,BRN,Brunei Darussalam,6.77,88,3,0,,,10,5,5.098039309,3.491732876,5.450450579,8.333333333,8.333333333,4.171103526,4.802773258,6.147185961,6.712962786,0.794871795,5.239122575,9.68667102,4.418614195,9.91522,10,8.505126304,9.244,3.580227602,10,5.127264468,6.987873018,8.302,8.694083757,7.425236928,8.140440228
2015,BGR,Bulgaria,7.4,46,2,5.732352941,5.846511721,8,8.5,7.019716166,3.370651799,3.612746527,4.47645594,8.333333333,5,4.767973315,8.838845799,4.210526148,4.999986712,0.846153846,4.883130213,8.304471673,9.13676476,9.979025533,10,9.355065492,8.360586579,7.621462643,10,6.55229601,8.133586308,9.593333333,7.044541271,6.113452746,7.583775783
2015,BFA,Burkina Faso,6.03,127,4,3.75,10,2,6.5,5.5625,1.853980189,3.594626659,4.163926422,3.333333333,5,2.139195153,4.756345117,5.077216989,4.677293378,0.871794872,3.597581138,8.994412679,9.032752909,9.809001337,0,6.959041731,7.396622222,4.538208791,10,4.510638729,6.611367436,9.342313616,7.158336143,5.748128428,7.416259395
2015,BDI,Burundi,5.87,131,4,5.970588235,10,2,6.5,6.117647059,1.208295064,3.100412634,2.934256803,1.7,,2.65461566,8.513441578,2.003361677,3.888661056,0.902439024,3.09182541,8.868192914,8.355545588,8.889159166,5,7.778224417,6.897955556,2.540152439,10,4.979361279,6.104367318,5,7.890803447,5.889087565,6.259963671
2015,KHM,Cambodia,7.2,64,2,9.832352941,9.712056102,2,10,7.886102261,2.968510907,3.01074111,4.735173552,6,,1.824541681,7.52818438,3.359788259,5.41300942,1,4.354993664,7.769421998,9.656484459,9.755745988,10,9.295413111,7.446933333,4.670165506,10,7.125336174,7.310608753,10,6.54007023,4.931165098,7.157078443
2015,CMR,Cameroon,5.79,133,4,7.411764706,9.567100156,8,4.5,7.369716215,3.363429612,4.226160245,5.131341755,5,3.333333333,2.168525641,3.374665576,5.561403433,4.824923821,0.585365854,3.257379298,9.351748714,9.570885343,9.462803446,0,7.096359376,5.495733333,1.958209044,10,2.392876223,4.96170465,6.804666667,7.303590737,4.731482789,6.279913398
2015,CAN,Canada,7.91,12,1,3.847058824,7.172715823,8,4,5.754943662,8.543687479,6.508702596,8.171232886,10,9.166666667,3.645024073,8.669157746,8.778626124,7.173023481,1,7.850680117,9.099447051,9.45564392,9.774951728,10,9.582510675,6.943111111,7.820906489,10,6.73102881,7.873761603,9.725333333,8.141954878,7.636812402,8.501366871
2015,CPV,Cape Verde,6.67,92,3,5.170946632,9.359980869,0,6,5.132731875,5.521049698,3.861753295,5.418030103,8.4,,6.058581633,8.828180929,5.443038146,5.087904274,1,6.07731726,9.292517217,9.166674118,9.973484056,5,8.358168847,6.697777778,5.212269452,10,6.28376466,7.048452973,9.238,4.419229215,6.491032736,6.716087317
2015,CAF,Central Afr. Rep.,4.63,158,4,9.676470588,9.58009584,4,3,6.564141607,,2.5,,0.8,,0.508171469,4.933862454,,,0.692307692,1.849276407,8.555232804,8.242215211,2.57156,0,4.842252004,4.490222222,2.637307488,10,1.488297438,4.653956787,7.861666667,3.251725385,4.654312618,5.255901557
2015,TCD,Chad,5.23,152,4,9.835294118,9.918256131,7,1,6.938387562,2.004248019,3.094967001,3.344730781,3.7,,2.223210769,4.960929713,3.120915095,3.328550849,0.717948718,2.76778205,8.855373236,7.286450433,9.268,0,6.352455917,6.3126,2.105721637,10,2.202487222,5.155202215,5.858333333,5.361164672,3.623745933,4.947747979
2015,CHL,Chile,7.79,14,1,6.705882353,7.891641773,10,7,7.899381032,6.382704823,4.788119457,7.124244061,7.5,7.5,5.109379145,9.066918247,8.189508915,5.367161414,0.902439024,6.450117633,8.745285856,9.365169916,9.130226543,10,9.310170579,9.468444444,6.867622073,10,6.517620549,8.213421767,8.950666667,5.161183974,7.166623354,7.092824665
2015,CHN,China,6.39,113,3,3.947058824,8.294277929,2,6,5.060334188,5.269586555,4.969095778,5.868727647,5,5.833333333,6.067809479,8.513846662,6.153484186,6.494319145,0.871794872,5.633083765,9.668458526,8.744705138,9.711488923,5,8.281163147,8.105822222,6.063676733,10,2.36096784,6.632616699,7.134666667,5.599601733,6.251617167,6.328628522
2015,COL,Colombia,6.55,103,3,5.038235294,7.840214037,10,4.5,6.844612333,3.21225645,3.178814113,5.182705161,3.333333333,3.333333333,2.217134643,9.040189726,3.985042572,2.999791093,0.871794872,3.793774688,8.957453776,9.148102487,8.998993869,5,8.026137533,8.027866667,4.421660021,9.53442623,5.675940611,6.914973382,8.806333333,5.980383083,6.724540683,7.170419033
2015,COD,"Congo, Dem. R.",5.78,134,4,7.488235294,8.850408719,8,4,7.084661003,2.003546158,3.265770872,4.565217495,2.5,1.666666667,0.970058556,5.388254322,4.444444577,5.319148699,0.585365854,2.653119211,9.295714082,7.795625816,9.48,5,7.892834974,7.750755556,1.605263154,10,2.43707819,5.448274225,6.333333333,5.815789474,5.254001212,5.80104134
2015,COG,"Congo, Rep. Of",4.81,157,4,5.576470588,9.898215245,0,3,4.618671458,,3.7,,5,3.333333333,3.011738204,4.917393719,,,0.707317073,3.408225775,9.893404395,4.107529717,9.0972,0,5.774533528,7.296488889,0,10,1.543610258,4.710024787,6.05223256,5.657673442,4.901083301,5.536996435
2015,CRI,Costa Rica,7.51,36,1,5.391176471,8.50132522,10,6.5,7.598125423,6.962389601,4.298527453,6.008954561,10,5,3.523501568,8.523296281,5.790598392,5.369773557,0.871794872,5.76898009,9.410246699,9.786615516,9.840663004,10,9.759381305,8.001155556,6.07009314,10,7.896979841,7.992057134,6.709333333,6.194095396,6.395913008,6.433113912
2015,CIV,Cote d'Ivoire,5.93,129,4,7.170588235,9.958248538,4,2,5.782209193,4.291210609,4.837725315,5.402195014,3.333333333,4.166666667,3.974267539,6.934817472,5.083333651,4.630969013,0.923076923,4.557106689,8.909033937,9.347679748,9.752511348,0,7.002306258,6.185511111,2.929833805,10,3.216520705,5.582966405,8.693333333,5.741889621,5.697520385,6.710914446
2015,HRV,Croatia,7.04,73,2,4.438235294,4.297314868,8,2,4.68388754,3.541369929,2.13799665,4.681171465,8.333333333,7.5,5.139086793,7.184691089,6.448412736,7.628286005,0.948717949,5.693974997,7.628320518,9.591485047,9.907100199,10,9.281726441,8.629288889,8.332987579,10,5.749774894,8.17801284,9.406666667,6.4458253,6.199017948,7.350503305
