Country ,Region,Income Group,Unemployment Rate
Afghanistan,South Asia,Low income,8.5
Angola,Sub-Saharan Africa,Lower middle income,6.199999809
Albania,Europe & Central Asia,Upper middle income,15
Arab World,,,11.0966818
United Arab Emirates,Middle East & North Africa,High income,3.799999952
Argentina,Latin America & Caribbean,Upper middle income,8.100000381
Armenia,Europe & Central Asia,Lower middle income,17.39999962
Australia,East Asia & Pacific,High income,5.699999809
Austria,Europe & Central Asia,High income,5.699999809
Azerbaijan,Europe & Central Asia,Upper middle income,5.099999905
Burundi,Sub-Saharan Africa,Low income,1.600000024
Belgium,Europe & Central Asia,High income,7.400000095
Benin,Sub-Saharan Africa,Low income,1
Burkina Faso,Sub-Saharan Africa,Low income,3
Bangladesh,South Asia,Lower middle income,4
Bulgaria,Europe & Central Asia,Upper middle income,6
Bahrain,Middle East & North Africa,High income,1.200000048
"Bahamas, The",Latin America & Caribbean,High income,12.60000038
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,25.79999924
Belarus,Europe & Central Asia,Upper middle income,0.5
Belize,Latin America & Caribbean,Upper middle income,11.39999962
Bolivia,Latin America & Caribbean,Lower middle income,3.5
Brazil,Latin America & Caribbean,Upper middle income,13.39999962
Barbados,Latin America & Caribbean,High income,11.39999962
Brunei Darussalam,East Asia & Pacific,High income,6.400000095
Bhutan,South Asia,Lower middle income,2.400000095
Botswana,Sub-Saharan Africa,Upper middle income,18.10000038
Central African Republic,Sub-Saharan Africa,Low income,6.400000095
Canada,North America,High income,6.599999905
Central Europe and the Baltics,,,5.744701128
Switzerland,Europe & Central Asia,High income,4.5
Channel Islands,Europe & Central Asia,High income,6.800000191
Chile,Latin America & Caribbean,High income,6.900000095
China,East Asia & Pacific,Upper middle income,4.599999905
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,9.199999809
Cameroon,Sub-Saharan Africa,Lower middle income,4.5
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,3.599999905
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,11.39999962
Colombia,Latin America & Caribbean,Upper middle income,9.100000381
Comoros,Sub-Saharan Africa,Low income,20.10000038
Cabo Verde,Sub-Saharan Africa,Lower middle income,10.69999981
Costa Rica,Latin America & Caribbean,Upper middle income,8.5
Caribbean small states,,,11.09700184
Cuba,Latin America & Caribbean,Upper middle income,2.599999905
Cyprus,Europe & Central Asia,High income,11.89999962
Czech Republic,Europe & Central Asia,High income,3.400000095
Germany,Europe & Central Asia,High income,3.799999952
Djibouti,Middle East & North Africa,Lower middle income,6.099999905
Denmark,Europe & Central Asia,High income,6.300000191
Dominican Republic,Latin America & Caribbean,Upper middle income,13.80000019
Algeria,Middle East & North Africa,Upper middle income,11.69999981
East Asia & Pacific (excluding high income),,,4.361428388
Early-demographic dividend,,,5.648485996
East Asia & Pacific,,,4.276013895
Europe & Central Asia (excluding high income),,,7.681467999
Europe & Central Asia,,,7.816689765
Ecuador,Latin America & Caribbean,Upper middle income,5.199999809
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,11.60000038
Euro area,,,9.380789669
Eritrea,Sub-Saharan Africa,Low income,6.599999905
Spain,Europe & Central Asia,High income,17.39999962
Estonia,Europe & Central Asia,High income,7.300000191
Ethiopia,Sub-Saharan Africa,Low income,5.400000095
European Union,,,7.96378439
Fragile and conflict affected situations,,,8.579608408
Finland,Europe & Central Asia,High income,8.600000381
Fiji,East Asia & Pacific,Upper middle income,8.100000381
France,Europe & Central Asia,High income,9.899999619
Gabon,Sub-Saharan Africa,Upper middle income,18.5
United Kingdom,Europe & Central Asia,High income,4.699999809
Georgia,Europe & Central Asia,Lower middle income,11.5
Ghana,Sub-Saharan Africa,Lower middle income,5.800000191
Guinea,Sub-Saharan Africa,Low income,6.300000191
"Gambia, The",Sub-Saharan Africa,Low income,29.79999924
Guinea-Bissau,Sub-Saharan Africa,Low income,6.099999905
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,6.699999809
Greece,Europe & Central Asia,High income,23.10000038
Guatemala,Latin America & Caribbean,Lower middle income,2.599999905
Guam,East Asia & Pacific,High income,6.5
Guyana,Latin America & Caribbean,Upper middle income,11.5
High income,,,5.964765716
"Hong Kong SAR, China",East Asia & Pacific,High income,3.5
Honduras,Latin America & Caribbean,Lower middle income,5.699999809
Heavily indebted poor countries (HIPC),,,6.173567781
Croatia,Europe & Central Asia,Upper middle income,11.5
Haiti,Latin America & Caribbean,Low income,13.39999962
Hungary,Europe & Central Asia,High income,4.199999809
IBRD only,,,5.710922844
IDA & IBRD total,,,5.746728883
IDA total,,,5.873593475
IDA blend,,,6.419924893
Indonesia,East Asia & Pacific,Lower middle income,5.599999905
IDA only,,,5.63418606
India,South Asia,Lower middle income,3.599999905
Ireland,Europe & Central Asia,High income,6.199999809
"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,11.39999962
Iraq,Middle East & North Africa,Upper middle income,14.80000019
Iceland,Europe & Central Asia,High income,2.700000048
Israel,Middle East & North Africa,High income,5.199999809
Italy,Europe & Central Asia,High income,11.60000038
Jamaica,Latin America & Caribbean,Upper middle income,13
Jordan,Middle East & North Africa,Lower middle income,14.89999962
Japan,East Asia & Pacific,High income,2.900000095
Kazakhstan,Europe & Central Asia,Upper middle income,5.400000095
Kenya,Sub-Saharan Africa,Lower middle income,11
Kyrgyz Republic,Europe & Central Asia,Lower middle income,7.800000191
Cambodia,East Asia & Pacific,Lower middle income,0.300000012
"Korea, Rep.",East Asia & Pacific,High income,3.700000048
Kuwait,Middle East & North Africa,High income,2.400000095
Latin America & Caribbean (excluding high income),,,8.820342106
Lao PDR,East Asia & Pacific,Lower middle income,1.5
Lebanon,Middle East & North Africa,Upper middle income,6.699999809
Liberia,Sub-Saharan Africa,Low income,4
Libya,Middle East & North Africa,Upper middle income,17.70000076
St. Lucia,Latin America & Caribbean,Upper middle income,22.29999924
Latin America & Caribbean,,,8.769308752
Least developed countries: UN classification,,,5.409349053
Low income,,,5.537821918
Sri Lanka,South Asia,Lower middle income,4.599999905
Lower middle income,,,5.068524519
Low & middle income,,,5.740551276
Lesotho,Sub-Saharan Africa,Lower middle income,29.20000076
Late-demographic dividend,,,5.536581143
Lithuania,Europe & Central Asia,High income,8.100000381
Luxembourg,Europe & Central Asia,High income,6
Latvia,Europe & Central Asia,High income,9.399999619
"Macao SAR, China",East Asia & Pacific,High income,2.200000048
Morocco,Middle East & North Africa,Lower middle income,10.80000019
Moldova,Europe & Central Asia,Lower middle income,4.400000095
Madagascar,Sub-Saharan Africa,Low income,2.400000095
Maldives,South Asia,Upper middle income,4
Middle East & North Africa,,,10.94071234
Mexico,Latin America & Caribbean,Upper middle income,3.799999952
Middle income,,,5.763330744
"Macedonia, FYR",Europe & Central Asia,Upper middle income,24.39999962
Mali,Sub-Saharan Africa,Low income,9.699999809
Malta,Middle East & North Africa,High income,4.800000191
Myanmar,East Asia & Pacific,Lower middle income,0.800000012
Middle East & North Africa (excluding high income),,,12.45929854
Montenegro,Europe & Central Asia,Upper middle income,17.70000076
Mongolia,East Asia & Pacific,Lower middle income,6.400000095
Mozambique,Sub-Saharan Africa,Low income,24.5
Mauritania,Sub-Saharan Africa,Lower middle income,10.19999981
Mauritius,Sub-Saharan Africa,Upper middle income,7.400000095
Malawi,Sub-Saharan Africa,Low income,6.699999809
Malaysia,East Asia & Pacific,Upper middle income,3.400000095
North America,,,5.085804435
Namibia,Sub-Saharan Africa,Upper middle income,22.29999924
New Caledonia,East Asia & Pacific,High income,14.60000038
Niger,Sub-Saharan Africa,Low income,2.599999905
Nigeria,Sub-Saharan Africa,Lower middle income,5.5
Nicaragua,Latin America & Caribbean,Lower middle income,6.199999809
Netherlands,Europe & Central Asia,High income,4.900000095
Norway,Europe & Central Asia,High income,4.5
Nepal,South Asia,Low income,3.200000048
New Zealand,East Asia & Pacific,High income,5.199999809
OECD members,,,6.097180906
Oman,Middle East & North Africa,High income,16.89999962
Other small states,,,11.92843729
Pakistan,South Asia,Lower middle income,5.900000095
Panama,Latin America & Caribbean,Upper middle income,4.699999809
Peru,Latin America & Caribbean,Upper middle income,6.800000191
Philippines,East Asia & Pacific,Lower middle income,5.699999809
Papua New Guinea,East Asia & Pacific,Lower middle income,2.599999905
Poland,Europe & Central Asia,High income,5.099999905
Pre-demographic dividend,,,6.756857943
Puerto Rico,Latin America & Caribbean,High income,12.30000019
"Korea, Dem. People’s Rep.",East Asia & Pacific,Low income,4.199999809
Portugal,Europe & Central Asia,High income,9.899999619
Paraguay,Latin America & Caribbean,Upper middle income,5.5
West Bank and Gaza,Middle East & North Africa,Lower middle income,26
Pacific island small states,,,14.79462854
Post-demographic dividend,,,6.095610263
French Polynesia,East Asia & Pacific,High income,16.39999962
Qatar,Middle East & North Africa,High income,0.300000012
Romania,Europe & Central Asia,Upper middle income,5.900000095
Russian Federation,Europe & Central Asia,Upper middle income,5.300000191
Rwanda,Sub-Saharan Africa,Low income,2.599999905
South Asia,,,3.949545249
Saudi Arabia,Middle East & North Africa,High income,5.5
Sudan,Sub-Saharan Africa,Lower middle income,13.30000019
Senegal,Sub-Saharan Africa,Low income,9.5
Singapore,East Asia & Pacific,High income,2.099999905
Solomon Islands,East Asia & Pacific,Lower middle income,31.39999962
Sierra Leone,Sub-Saharan Africa,Low income,2.799999952
El Salvador,Latin America & Caribbean,Lower middle income,6.900000095
Somalia,Sub-Saharan Africa,Low income,6
Serbia,Europe & Central Asia,Upper middle income,14.39999962
Sub-Saharan Africa (excluding high income),,,7.478603468
Sub-Saharan Africa,,,7.478603468
Small states,,,11.90465024
Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,13.69999981
Suriname,Latin America & Caribbean,Upper middle income,8.899999619
Slovak Republic,Europe & Central Asia,High income,9
Slovenia,Europe & Central Asia,High income,7.5
Sweden,Europe & Central Asia,High income,7.199999809
Swaziland,Sub-Saharan Africa,Lower middle income,25.70000076
Syrian Arab Republic,Middle East & North Africa,Lower middle income,14.19999981
Chad,Sub-Saharan Africa,Low income,5.800000191
East Asia & Pacific (IDA & IBRD countries),,,4.363791246
