country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Australia,2000,male,15-24 years,271,1333011,20.33,Australia2000,0.898,"415,034,227,218",232,Generation X
Australia,2000,female,15-24 years,78,1285283,6.07,Australia2000,0.898,"415,034,227,218",232,Generation X
Australia,2001,male,15-24 years,280,1351444,20.72,Australia2001,,"378,215,090,694",20860,Millenials
Australia,2001,female,15-24 years,63,1303713,4.83,Australia2001,,"378,215,090,694",20860,Millenials
Australia,2002,male,15-24 years,246,1372770,17.92,Australia2002,,"394,486,709,920",21474,Millenials
Australia,2002,female,15-24 years,58,1316527,4.41,Australia2002,,"394,486,709,920",21474,Millenials
Australia,2003,male,15-24 years,243,1394989,17.42,Australia2003,,"466,294,700,058",25059,Millenials
Australia,2003,female,15-24 years,48,1333189,3.6,Australia2003,,"466,294,700,058",25059,Millenials
Australia,2004,male,15-24 years,205,1420482,14.43,Australia2004,,61,32454,Millenials
Australia,2004,female,15-24 years,67,1364452,4.91,Australia2004,,61,32454,Millenials
Australia,2006,male,15-24 years,230,1446866,15.9,Australia2006,,"745,521,862,833",39014,Millenials
Australia,2006,female,15-24 years,68,1388615,4.9,Australia2006,,"745,521,862,833",39014,Millenials
Australia,2007,male,15-24 years,234,1515524,15.44,Australia2007,,85,43171,Millenials
Australia,2007,female,15-24 years,66,14404,4.58,Australia2007,,85,43171,Millenials
Australia,2008,male,15-24 years,228,1560974,14.61,Australia2008,,"1,052,584,601,611",52315,Millenials
Australia,2008,female,15-24 years,60,1473105,4.07,Australia2008,,"1,052,584,601,611",52315,Millenials
Australia,2009,male,15-24 years,210,1605456,13.08,Australia2009,,"926,448,240,318",45128,Millenials
Australia,2009,female,15-24 years,66,15067,4.38,Australia2009,,"926,448,240,318",45128,Millenials
Australia,2010,male,15-24 years,222,1618860,13.71,Australia2010,0.927,"1,144,260,547,873",54887,Millenials
Australia,2010,female,15-24 years,80,1521652,5.26,Australia2010,0.927,"1,144,260,547,873",54887,Millenials
Australia,2011,male,15-24 years,242,1570069,15.41,Australia2011,0.93,"1,394,280,784,778",66770,Millenials
Australia,2011,female,15-24 years,93,1495053,6.22,Australia2011,0.93,"1,394,280,784,778",66770,Millenials
Australia,2012,male,15-24 years,217,1579672,13.74,Australia2012,0.932,"1,543,411,012,580",72669,Millenials
Australia,2012,female,15-24 years,109,1503934,7.25,Australia2012,0.932,"1,543,411,012,580",72669,Millenials
Australia,2013,male,15-24 years,267,1591539,16.78,Australia2013,0.933,"1,573,696,522,007",72856,Millenials
Australia,2013,female,15-24 years,95,1512779,6.28,Australia2013,0.933,"1,573,696,522,007",72856,Millenials
Australia,2014,male,15-24 years,271,1604935,16.89,Australia2014,0.935,"1,464,955,475,994",66809,Millenials
